# Discretely self-similar (Choptuik) solution of the Einstein / massless-scalar
# system in spherical symmetry, from the fixed-point equation
#     S_(Delta/2)[H] + H = 0
# solved by black-box Newton-Krylov with no tuning of initial data
# (src/dss_newton.py; see docs/09_dss_fixed_point.md).
#
# Grid:         X is PIECEWISE uniform in the first three files, with step
#               0.01 on [0, 0.5), 0.025 on [0.5, 2) and 0.05 on [2, 4];
#               151 rows.  The adjoint file uses the 224 Chebyshev
#               collocation nodes of its own solve instead, at full double
#               precision, for the reason given in its header (see below).
#
# Coordinates:  T = -ln(u* - u),  X = r/(u* - u)
# State:        H(X) = h = d(r phi)/dr        (dimensionless, scale invariant)
# Constraints:  Hbar = (1/X) int_0^X H dX  ( = phi exactly )
#               ln g = 4 pi int_0^X (H-Hbar)^2 dX/X
#               gbar = (1/X) int_0^X g dX
# Evolution:    H_T = -(X - gbar/2) H_X + (g-gbar)(H-Hbar)/(2X)
# Antiperiodic: H(T + Delta/2, X) = -H(T, X)
#
# Delta   = 3.445452403(4)  value adopted in the paper, from the Chebyshev
#                          sequence; the bracket is that sequence's own
#                          scatter over resolution, not an error bound
#                          Martin-Garcia & Gundlach 2003: 3.445452402(3)
#           Each file also carries the Delta of the solve it came from, with
#           that solve, below:
#             profile, growing mode      finite differences, N = 800
#             lam_1 mode, lam_1 adjoint  Chebyshev, N = 224
# gamma   = 0.3739608      = 1/lam_0, from lam_0 = 2.674077202
# lam_0   = +2.6740772     the only growing mode in this sector
# lam_g   = +1.0000000     gauge mode u* -> u* + d; exactly 1
# lam     =  0 (twice)     phase (T -> T + a) and constant (H -> H + c)
# lam_1   = -0.8948202     least-damped decaying mode; first determination
# mu      =  0.6139        transverse Floquet exponent of the self-similarity
#                          horizon, treated as the repelling periodic orbit of
#                          the ray equation.  A RAY starting a distance eps
#                          inside it reaches the centre at T = (1/mu) ln(1/eps)
#                          + C(T) + o(1) as eps -> 0, with C of period
#                          Delta/2.  Only the log is fixed by mu: at arrival
#                          the separation is O(1), so the linearization does
#                          not reach the endpoint and C also carries the
#                          nonlinear transit to the centre.  Measured over 7.2
#                          half-periods the remainder oscillates between 2.19
#                          and 2.43 without settling; one harmonic of period
#                          Delta/2 accounts for 62% of the variance.  This is a
#                          statement about characteristics only: the size of a
#                          field perturbation inside the horizon is set by the
#                          Floquet spectrum, and the growing, gauge and neutral
#                          directions do not decay (Sec. VI D of the paper).
# X_h(0)  = 1.352471       horizon periodic orbit at the reference phase
# max X_h = 1.560820       its maximum over the cycle
#
# Parity under Delta/2 (from the sign of the half-period multiplier nu):
#   lam_0, lam_g, phase  are ANTIperiodic -> odd harmonics only (like phi)
#   constant, lam_1      are  periodic    -> even harmonics only
#
# Phase is an exact lam = 0 freedom, so every T-translate is equally a solution.
#
# Growing-mode eigenvector of the SAME (finite-difference, N = 800) fixed
# point, whose own period is Delta = 3.4454536098: normalized to peak 1, with
# the sign fixed by requiring the peak positive.
# nu_0 = -100.153547 < 0: ANTIperiodic under Delta/2, odd harmonics only.
# 99.7% of its |v|^2 dX weight lies inside the self-similarity horizon.
#
#      X            dH_0
    0.000000000    0.040184323
    0.010000000    0.054333375
    0.020000000    0.068125601
    0.030000000    0.081542593
    0.040000000    0.094603374
    0.050000000    0.107356124
    0.060000000    0.119868804
    0.070000000    0.132221661
    0.080000000    0.144501743
    0.090000000    0.156799136
    0.100000000    0.169204213
    0.110000000    0.181805630
    0.120000000    0.194689596
    0.130000000    0.207940148
    0.140000000    0.221639170
    0.150000000    0.235866265
    0.160000000    0.250699621
    0.170000000    0.266216700
    0.180000000    0.282493436
    0.190000000    0.299604256
    0.200000000    0.317623066
    0.210000000    0.336621819
    0.220000000    0.356669657
    0.230000000    0.377834125
    0.240000000    0.400177804
    0.250000000    0.423756505
    0.260000000    0.448620790
    0.270000000    0.474807461
    0.280000000    0.502337441
    0.290000000    0.531217345
    0.300000000    0.561424370
    0.310000000    0.592905843
    0.320000000    0.625572180
    0.330000000    0.659285867
    0.340000000    0.693861401
    0.350000000    0.729035647
    0.360000000    0.764478304
    0.370000000    0.799783519
    0.380000000    0.834441859
    0.390000000    0.867851540
    0.400000000    0.899319258
    0.410000000    0.928066931
    0.420000000    0.953236358
    0.430000000    0.973914947
    0.440000000    0.989180389
    0.450000000    0.998142794
    0.460000000    0.999981858
    0.470000000    0.994010257
    0.480000000    0.979749832
    0.490000000    0.956969867
    0.500000000    0.925719538
    0.525000000    0.813609073
    0.550000000    0.664794802
    0.575000000    0.499440488
    0.600000000    0.337846062
    0.625000000    0.194877937
    0.650000000    0.077944172
    0.675000000   -0.011768964
    0.700000000   -0.076958549
    0.725000000   -0.121931807
    0.750000000   -0.151230458
    0.775000000   -0.168856420
    0.800000000   -0.178075190
    0.825000000   -0.181378549
    0.850000000   -0.180626654
    0.875000000   -0.177173526
    0.900000000   -0.171980068
    0.925000000   -0.165724345
    0.950000000   -0.158877739
    0.975000000   -0.151765795
    1.000000000   -0.144619504
    1.025000000   -0.137577843
    1.050000000   -0.130734769
    1.075000000   -0.124158071
    1.100000000   -0.117873735
    1.125000000   -0.111903419
    1.150000000   -0.106245979
    1.175000000   -0.100906450
    1.200000000   -0.095866165
    1.225000000   -0.091121566
    1.250000000   -0.086654469
    1.275000000   -0.082449847
    1.300000000   -0.078495184
    1.325000000   -0.074774222
    1.350000000   -0.071270057
    1.375000000   -0.067970750
    1.400000000   -0.064863872
    1.425000000   -0.061934801
    1.450000000   -0.059171640
    1.475000000   -0.056564270
    1.500000000   -0.054102240
    1.525000000   -0.051775631
    1.550000000   -0.049575348
    1.575000000   -0.047493142
    1.600000000   -0.045521560
    1.625000000   -0.043653431
    1.650000000   -0.041881895
    1.675000000   -0.040200755
    1.700000000   -0.038604441
    1.725000000   -0.037087739
    1.750000000   -0.035645678
    1.775000000   -0.034273634
    1.800000000   -0.032967396
    1.825000000   -0.031723101
    1.850000000   -0.030537124
    1.875000000   -0.029406050
    1.900000000   -0.028326696
    1.925000000   -0.027296125
    1.950000000   -0.026311609
    1.975000000   -0.025370596
    2.000000000   -0.024470683
    2.050000000   -0.022785327
    2.100000000   -0.021239335
    2.150000000   -0.019818517
    2.200000000   -0.018510393
