# Discretely self-similar (Choptuik) solution of the Einstein / massless-scalar
# system in spherical symmetry, from the fixed-point equation
#     S_(Delta/2)[H] + H = 0
# solved by black-box Newton-Krylov with no tuning of initial data
# (src/dss_newton.py; see docs/09_dss_fixed_point.md).
#
# Grid:         X is PIECEWISE uniform in the first three files, with step
#               0.01 on [0, 0.5), 0.025 on [0.5, 2) and 0.05 on [2, 4];
#               151 rows.  The adjoint file uses the 224 Chebyshev
#               collocation nodes of its own solve instead, at full double
#               precision, for the reason given in its header (see below).
#
# Coordinates:  T = -ln(u* - u),  X = r/(u* - u)
# State:        H(X) = h = d(r phi)/dr        (dimensionless, scale invariant)
# Constraints:  Hbar = (1/X) int_0^X H dX  ( = phi exactly )
#               ln g = 4 pi int_0^X (H-Hbar)^2 dX/X
#               gbar = (1/X) int_0^X g dX
# Evolution:    H_T = -(X - gbar/2) H_X + (g-gbar)(H-Hbar)/(2X)
# Antiperiodic: H(T + Delta/2, X) = -H(T, X)
#
# Delta   = 3.445452403(4)  value adopted in the paper, from the Chebyshev
#                          sequence; the bracket is that sequence's own
#                          scatter over resolution, not an error bound
#                          Martin-Garcia & Gundlach 2003: 3.445452402(3)
#           Each file also carries the Delta of the solve it came from, with
#           that solve, below:
#             profile, growing mode      finite differences, N = 800
#             lam_1 mode, lam_1 adjoint  Chebyshev, N = 224
# gamma   = 0.3739608      = 1/lam_0, from lam_0 = 2.674077202
# lam_0   = +2.6740772     the only growing mode in this sector
# lam_g   = +1.0000000     gauge mode u* -> u* + d; exactly 1
# lam     =  0 (twice)     phase (T -> T + a) and constant (H -> H + c)
# lam_1   = -0.8948202     least-damped decaying mode; first determination
# mu      =  0.6139        transverse Floquet exponent of the self-similarity
#                          horizon, treated as the repelling periodic orbit of
#                          the ray equation.  A RAY starting a distance eps
#                          inside it reaches the centre at T = (1/mu) ln(1/eps)
#                          + C(T) + o(1) as eps -> 0, with C of period
#                          Delta/2.  Only the log is fixed by mu: at arrival
#                          the separation is O(1), so the linearization does
#                          not reach the endpoint and C also carries the
#                          nonlinear transit to the centre.  Measured over 7.2
#                          half-periods the remainder oscillates between 2.19
#                          and 2.43 without settling; one harmonic of period
#                          Delta/2 accounts for 62% of the variance.  This is a
#                          statement about characteristics only: the size of a
#                          field perturbation inside the horizon is set by the
#                          Floquet spectrum, and the growing, gauge and neutral
#                          directions do not decay (Sec. VI D of the paper).
# X_h(0)  = 1.352471       horizon periodic orbit at the reference phase
# max X_h = 1.560820       its maximum over the cycle
#
# Parity under Delta/2 (from the sign of the half-period multiplier nu):
#   lam_0, lam_g, phase  are ANTIperiodic -> odd harmonics only (like phi)
#   constant, lam_1      are  periodic    -> even harmonics only
#
# Phase is an exact lam = 0 freedom, so every T-translate is equally a solution.
# phi(0) = -0.52872594 at this phase
#
# Finite-difference fixed point, N = 800 on 0 < X <= 4, 7-point
# differences, 6-point cumulative quadrature, Newton residual
# 4.4e-12; this solve's own period is Delta = 3.4454536098.
#
#      X            H              Hbar(=phi)        g              gbar
    0.000000000   -0.528725938   -0.528725938    1.000000000    1.000000000
    0.010000000   -0.510862242   -0.519873499    1.000498619    1.000164194
    0.020000000   -0.492147817   -0.510720577    1.002085197    1.000680078
    0.030000000   -0.472772672   -0.501316387    1.004877899    1.001578960
    0.040000000   -0.452902923   -0.491705475    1.008972553    1.002887539
    0.050000000   -0.432680303   -0.481927529    1.014445550    1.004628322
    0.060000000   -0.412223156   -0.472017429    1.021357363    1.006820166
    0.070000000   -0.391628379   -0.462005470    1.029756203    1.009478872
    0.080000000   -0.370973858   -0.451917700    1.039681495    1.012617785
    0.090000000   -0.350321024   -0.441776303    1.051166994    1.016248355
    0.100000000   -0.329717354   -0.431600016    1.064243489    1.020380661
    0.110000000   -0.309198742   -0.421404535    1.078941063    1.025023866
    0.120000000   -0.288791676   -0.411202909    1.095290939    1.030186623
    0.130000000   -0.268515071   -0.401005907    1.113326952    1.035877416
    0.140000000   -0.248381815   -0.390822349    1.133086739    1.042104851
    0.150000000   -0.228400127   -0.380659399    1.154612680    1.048877903
    0.160000000   -0.208574711   -0.370522829    1.177952631    1.056206117
    0.170000000   -0.188907630   -0.360417247    1.203160510    1.064099786
    0.180000000   -0.169399102   -0.350346299    1.230296769    1.072570090
    0.190000000   -0.150048269   -0.340312841    1.259428746    1.081629214
    0.200000000   -0.130853764   -0.330319102    1.290630908    1.091290454
    0.210000000   -0.111814203   -0.320366817    1.323985018    1.101568291
    0.220000000   -0.092928766   -0.310457355    1.359580191    1.112478457
    0.230000000   -0.074197593   -0.300591830    1.397512826    1.124037982
    0.240000000   -0.055622126   -0.290771203    1.437886437    1.136265221
    0.250000000   -0.037205675   -0.280996373    1.480811309    1.149179872
    0.260000000   -0.018953695   -0.271268270    1.526403944    1.162802966
    0.270000000   -0.000874140   -0.261587932    1.574786327    1.177156835
    0.280000000    0.017021812   -0.251956588    1.626084832    1.192265063
    0.290000000    0.034719571   -0.242375743    1.680428753    1.208152391
    0.300000000    0.052200658   -0.232847250    1.737948471    1.224844596
    0.310000000    0.069441965   -0.223373391    1.798773010    1.242368321
    0.320000000    0.086415540   -0.213956961    1.863026993    1.260750848
    0.330000000    0.103087917   -0.204601344    1.930826897    1.280019819
    0.340000000    0.119419967   -0.195310596    2.002276512    1.300202874
    0.350000000    0.135366372   -0.186089511    2.077461633    1.321327214
    0.360000000    0.150875025   -0.176943705    2.156443638    1.343419082
    0.370000000    0.165887588   -0.167879679    2.239252305    1.366503129
    0.380000000    0.180339234   -0.158904871    2.325877928    1.390601695
    0.390000000    0.194158817   -0.150027700    2.416262599    1.415733982
    0.400000000    0.207269772   -0.141257591    2.510291189    1.441915125
    0.410000000    0.219591378   -0.132604972    2.607782517    1.469155188
    0.420000000    0.231040315   -0.124081232    2.708481324    1.497458097
    0.430000000    0.241532540   -0.115698654    2.812051640    1.526820546
    0.440000000    0.250985985   -0.107470296    2.918072504    1.557230936
    0.450000000    0.259323825   -0.099409825    3.026037120    1.588668385
